TRAINING PASS # 9
PREDICTED RESULTS: 0.198841 0.290407 0.528014 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.198728 0.290315 0.528027 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.198787 0.290363 0.52802 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.198865 0.290427 0.528012 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.198898 0.290453 0.528008 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.1988 0.290373 0.528019 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.198877 0.290437 0.52801 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.198801 0.290375 0.528019 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.198875 0.290435 0.528011 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.198828 0.290396 0.528016 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.198971 0.290512 0.528002 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.19904 0.290568 0.527994 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.198967 0.290509 0.528002 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.198871 0.290431 0.528013 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.198977 0.290517 0.528001 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.198999 0.290535 0.527999 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.198995 0.290532 0.527999 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.199021 0.290553 0.527996 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.198879 0.290438 0.528012 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.198984 0.290523 0.528 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.199144 0.290654 0.527984 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.199129 0.290641 0.527985 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.199044 0.290572 0.527995 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.199163 0.290669 0.527982 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.199164 0.29067 0.527982 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.199118 0.290633 0.527987 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.199048 0.290575 0.527994 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.199101 0.290618 0.527988 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.199131 0.290643 0.527985 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.199065 0.290589 0.527992 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 19
PREDICTED RESULTS: 0.217358 0.303876 0.487342 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.216834 0.303413 0.487165 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.217047 0.303601 0.487237 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.217595 0.304085 0.487422 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.2178 0.304265 0.48749 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.217196 0.303733 0.487287 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.217595 0.304084 0.487422 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.217162 0.303703 0.487276 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.217579 0.30407 0.487416 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.217319 0.303841 0.487329 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.218989 0.305311 0.487884 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.2194 0.305672 0.488021 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.218892 0.305226 0.487852 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.218191 0.30461 0.487619 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.218981 0.305304 0.487882 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.21906 0.305373 0.487908 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.219061 0.305374 0.487909 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.219243 0.305534 0.487969 
EXPECTED RESULTS: 0 1 0 
